Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"D1, D2",2,"Vermelho LED"
"D3, D4",2,"Amarelo LED"
"D5, D6",2,"Azul LED"
"R1, R2, R3, R4, R5, R6",6,"1 kΩ Resistor"
