Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"D1",1,"Vermelho LED"
"D2",1,"Amarelo LED"
"D3",1,"Laranja LED"
"D4",1,"Azul LED"
"D5",1,"Verde LED"
"D6",1,"Branco LED"
"R1, R2, R3, R4, R5, R6",6,"1 kΩ Resistor"
